part,sensor,metric,stat,long_mean,short_mean,difference,t_stat,p_value,n_pairs,removed_short,removed_long,coef,z_value,n_titles,n_observations,n_long,n_short
Part 2,FAC,Engagement,Mean,0.27692199071084334,0.2077455610875,0.06917642962334333,,0.13573071574741266,,2,0,0.06653348406683522,1.491879583833304,3.0,163.0,83.0,80.0
Part 1,FAC,Fear,AUC,0.005187499999999999,0.0,0.005187499999999999,1.7641909560698188,0.08325297599414613,56.0,19,18,,,,,,
Part 2,FAC,Fear,AUC,0.011753846153846155,0.0,0.011753846153846155,,0.008759078897870039,,19,18,0.012912727609570195,2.6213169403452388,3.0,128.0,65.0,63.0
Part 1,FAC,Fear,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Fear,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Fear,Mean,2.2681107142857143e-05,0.0,2.2681107142857143e-05,1.7599031043652087,0.08398482839862428,56.0,19,19,,,,,,
Part 2,FAC,Fear,Mean,3.604384375e-05,0.0,3.604384375e-05,,0.005442543284716252,,19,19,3.981104075819927e-05,2.7796027471190445,3.0,127.0,64.0,63.0
Part 1,FAC,Joy,AUC,3.3021874999999996,0.87415625,2.4280312499999996,2.976582781168296,0.004131516893287777,64.0,12,11,,,,,,
Part 2,FAC,Joy,AUC,3.389854166666667,1.1168142857142853,2.2730398809523815,,0.0034817213996059123,,12,11,2.228621849412092,2.9216593304493648,3.0,142.0,72.0,70.0
Part 1,FAC,Joy,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Joy,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Joy,Mean,0.02278249286885246,0.0044407828852459025,0.01834170998360656,2.8340223004560725,0.006253224875934554,61.0,13,10,,,,,,
Part 2,FAC,Joy,Mean,0.028169792479452054,0.005634197898550725,0.02253559458090133,,0.00021181795797898902,,13,10,0.0229145344299693,3.7044882112963857,3.0,142.0,73.0,69.0
Part 1,FAC,NegativeAdaptiveValence,AUC,0.0,0.0,0.0,,,72.0,6,7,,,,,,
Part 2,FAC,NegativeAdaptiveValence,AUC,0.0,0.0,0.0,,,,6,7,,,3.0,152.0,76.0,76.0
Part 1,FAC,NegativeAdaptiveValence,Mean,0.0,0.0,0.0,,,72.0,6,7,,,,,,
Part 2,FAC,NegativeAdaptiveValence,Mean,0.0,0.0,0.0,,,,6,7,,,3.0,152.0,76.0,76.0
Part 1,FAC,Neutral,AUC,157.94071951219513,159.67603658536584,-1.7353170731707053,-0.13041991511424234,0.896557567634279,82.0,0,0,,,,,,
Part 2,FAC,Neutral,AUC,159.01973493975905,159.67603658536584,-0.6563016456067885,,0.8252076932891735,,0,0,-1.6826294042022196,-0.2208519738950292,3.0,165.0,83.0,82.0
Part 1,FAC,Neutral,Binary,0.0,0.0,0.0,,,82.0,0,0,,,,,,
Part 2,FAC,Neutral,Binary,0.0,0.0,0.0,,,,0,0,,,3.0,165.0,83.0,82.0
Part 1,FAC,Neutral,Mean,0.8518955092352941,0.9271830455735295,-0.07528753633823537,-3.6309530011591136,0.0005473490833094749,68.0,11,7,,,,,,
Part 2,FAC,Neutral,Mean,0.844520734368421,0.9211568521408451,-0.07663611777242407,,0.0029501526665015555,,11,7,-0.07571236950862517,-2.972884683676598,3.0,147.0,76.0,71.0
Part 1,FAC,NeutralAdaptiveValence,AUC,180.21006707317073,181.68264024390245,-1.472573170731721,-0.09494051185187102,0.9245965555880318,82.0,0,0,,,,,,
