metric_label,metric_axis,metric_stat,outcome_label,section_label,part,subtype,group,title,comparison,n,pearson_r,slope,metric_mean,outcome_mean,long_mean,short_mean,p_value,significance
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 2,format-correlation,Long,,,59.0,-0.041402533558934536,,84.40997797176271,0.6896186440677967,,,0.7555360347410637,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 2,format-correlation,Short,,,61.0,-0.029634874817370302,,81.69473059690162,0.4875853825136611,,,0.820643646120008,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 2,interaction,Long vs Short,,,,,,,,,,0.9269267533796308,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 2,slope,Long,,vs Short,,,-0.00017554009953077302,,,,,0.9269267533796308,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 2,slope,Short,,Reference,,,-0.00010755049680322322,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 3,title-delta,Long vs Short,Abbott Elementary,,,,,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 3,title-delta,Long vs Short,Mad Max,,,,,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 3,title-delta,Long vs Short,The Town,,,,,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 3,title-form,Long,Abbott Elementary,,21.0,0.19663025172537688,,,,,,0.39294829211685267,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 3,title-form,Long,Mad Max,,19.0,-0.02807947766940573,,,,,,0.9091520885045054,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 3,title-form,Long,The Town,,19.0,-0.24410243884627159,,,,,,0.3138748469240946,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 3,title-form,Short,Abbott Elementary,,24.0,-0.29200767835273433,,,,,,0.16618457845446039,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 3,title-form,Short,Mad Max,,19.0,-0.17991123178606633,,,,,,0.46110904500669647,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Enjoyment (NormalizedCorrected),EEG High Engagement Ã— Enjoyment,Part 3,title-form,Short,The Town,,18.0,-0.20948577006986874,,,,,,0.40412156749105327,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 1,overall,All,,,121.0,0.10070869147980745,,85.06753194053718,55.13223140495868,50.557377049180324,59.78333333333333,0.27172721652953113,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 2,format-correlation,Long,,,61.0,0.18006281243768096,,88.28077425465573,50.557377049180324,,,0.1649480243657904,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 2,format-correlation,Short,,,60.0,0.03832569429835194,,81.80073558784999,59.78333333333333,,,0.7712567391389629,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 2,interaction,Long vs Short,,,,,,,,,,0.4926845290127372,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 2,slope,Long,,vs Short,,,0.08022323328120122,,,,,0.4926845290127372,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 2,slope,Short,,Reference,,,0.019579277389834556,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 3,title-delta,Long vs Short,Abbott Elementary,,,,,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 3,title-delta,Long vs Short,Mad Max,,,,,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 3,title-delta,Long vs Short,The Town,,,,,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 3,title-form,Long,Abbott Elementary,,21.0,0.15323298676598748,,,,,,0.5072425409808003,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 3,title-form,Long,Mad Max,,20.0,0.5180633346367874,,,,,,0.019288599319597366,*
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 3,title-form,Long,The Town,,20.0,0.4565673617815259,,,,,,0.0430137988807762,*
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 3,title-form,Short,Abbott Elementary,,24.0,-0.11531739115425874,,,,,,0.5915614219245521,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 3,title-form,Short,Mad Max,,19.0,0.003737970500059894,,,,,,0.9878828019555824,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Open-Ended Recall (Key-Moment),EEG High Engagement Ã— Recall,Part 3,title-form,Short,The Town,,17.0,0.3938749189506511,,,,,,0.11774526580625366,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 1,overall,All,,,121.0,-0.05312706384234393,,84.04000957888431,3.355371900826446,3.6166666666666667,3.098360655737705,0.5627642197066937,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 2,format-correlation,Long,,,60.0,-0.0296099403146052,,86.4243765439,3.6166666666666667,,,0.8223044361524763,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 2,format-correlation,Short,,,61.0,-0.09461636291202064,,81.69473059690162,3.098360655737705,,,0.46825627728479474,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 2,interaction,Long vs Short,,,,,,,,,,0.7097084055085273,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 2,slope,Long,,vs Short,,,-0.001460464545650541,,,,,0.7097084055085273,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 2,slope,Short,,Reference,,,-0.004991277322851082,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 3,title-delta,Long vs Short,Abbott Elementary,,,,,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 3,title-delta,Long vs Short,Mad Max,,,,,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 3,title-delta,Long vs Short,The Town,,,,,,,,,,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 3,title-form,Long,Abbott Elementary,,21.0,-0.05026372305226902,,,,,,0.8286999442505805,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 3,title-form,Long,Mad Max,,20.0,0.2571767019051418,,,,,,0.27368514138263345,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 3,title-form,Long,The Town,,19.0,0.2069647626164961,,,,,,0.39523936985480174,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 3,title-form,Short,Abbott Elementary,,24.0,-0.4546534758825181,,,,,,0.025608705001567894,*
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 3,title-form,Short,Mad Max,,19.0,0.08183931017536385,,,,,,0.7390809847810118,
EEG High Engagement AUC,EEG High Engagement AUC,AUC,Screening Familiarity (C1),EEG High Engagement Ã— Familiarity,Part 3,title-form,Short,The Town,,18.0,0.15090524852997375,,,,,,0.5500315768114657,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 1,overall,All,,,137.0,-0.09216490857745674,,114.85719271756204,0.5764218369829684,0.6773897058823529,0.47691727053140087,0.28409748047421274,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2,format-correlation,Long,,,68.0,-0.2620775545303139,,125.42157004108824,0.6773897058823529,,,0.030852486228447933,*
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2,format-correlation,Short,,,69.0,0.05823040354384714,,104.44592231176813,0.47691727053140087,,,0.6345980562101592,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2,interaction,Long vs Short,,,,,,,,,,0.09772336691257646,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2,slope,Long,,vs Short,,,-0.0004974720245095523,,,,,0.09772336691257646,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2,slope,Short,,Reference,,,0.0001310987720565959,,,,,,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2.1,format-correlation-title,Long,,,22.0,-0.06314201527329949,,123.36748547045454,0.6676136363636365,,,0.7801273335741863,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2.1,format-correlation-title,Long,,,23.0,-0.580415755330801,,134.58799059695653,0.5905797101449275,,,0.003688836064864229,*
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2.1,format-correlation-title,Long,,,23.0,0.1991655003724982,,118.21992603104349,0.7735507246376813,,,0.3622570231199872,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2.1,format-correlation-title,Short,,,30.0,0.12901005200865148,,119.528772829,0.44635416666666666,,,0.49685923163424117,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2.1,format-correlation-title,Short,,,21.0,0.21001295736542364,,85.55012783238095,0.45317460317460323,,,0.36086498497703035,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2.1,format-correlation-title,Short,,,18.0,-0.22211699286259162,,101.35293167566667,0.5555555555555556,,,0.37569873294029643,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2.1,interaction,Long vs Short,,,,,,,,,,0.5548760548850309,
ET Blink Rate,ET Blink Rate,RATE,Enjoyment (NormalizedCorrected),ET Blink Rate Ã— Enjoyment,Part 2.1,interaction,Long vs Short,,,,,,,,,,0.05318870655354686,
