respondent_id,form,title,sensor,metric,stat,value
007_89.csv,Short,The Town,FAC,Disgust,Binary,0.0
005_93.csv,Short,The Town,FAC,Disgust,Binary,0.0
005_10.csv,Short,The Town,FAC,Fear,Mean,0.00038018
004_15.csv,Short,The Town,FAC,Fear,Mean,0.0
003_37.csv,Short,The Town,FAC,Fear,Mean,0.0
002_39.csv,Short,The Town,FAC,Fear,Mean,0.0
004_56.csv,Short,The Town,FAC,Fear,Mean,0.002658901
001_58.csv,Short,The Town,FAC,Fear,Mean,0.0
003_64.csv,Short,The Town,FAC,Fear,Mean,0.01051032
002_73.csv,Short,The Town,FAC,Fear,Mean,0.0
001_77.csv,Short,The Town,FAC,Fear,Mean,0.000506521
005_90.csv,Short,The Town,FAC,Fear,Mean,0.0
008_1.csv,Short,The Town,FAC,Fear,Mean,0.006457331
003_101.csv,Short,The Town,FAC,Fear,Mean,0.0
003_103.csv,Short,The Town,FAC,Fear,Mean,0.0
002_105.csv,Short,The Town,FAC,Fear,Mean,0.0
001_114.csv,Short,The Town,FAC,Fear,Mean,0.0
007_13.csv,Short,The Town,FAC,Fear,Mean,0.0
006_16.csv,Short,The Town,FAC,Fear,Mean,0.004304887
006_43.csv,Short,The Town,FAC,Fear,Mean,0.0
005_59.csv,Short,The Town,FAC,Fear,Mean,0.001140829
008_6.csv,Short,The Town,FAC,Fear,Mean,0.006084421
004_62.csv,Short,The Town,FAC,Fear,Mean,0.0
004_63.csv,Short,The Town,FAC,Fear,Mean,0.0
002_82.csv,Short,The Town,FAC,Fear,Mean,0.0
001_88.csv,Short,The Town,FAC,Fear,Mean,0.0
007_89.csv,Short,The Town,FAC,Fear,Mean,0.126980104
005_93.csv,Short,The Town,FAC,Fear,Mean,0.0
005_10.csv,Short,The Town,FAC,Fear,AUC,0.0995
004_15.csv,Short,The Town,FAC,Fear,AUC,0.0
003_37.csv,Short,The Town,FAC,Fear,AUC,0.0
002_39.csv,Short,The Town,FAC,Fear,AUC,0.0
004_56.csv,Short,The Town,FAC,Fear,AUC,0.7155
001_58.csv,Short,The Town,FAC,Fear,AUC,0.0
003_64.csv,Short,The Town,FAC,Fear,AUC,2.786
002_73.csv,Short,The Town,FAC,Fear,AUC,0.0
001_77.csv,Short,The Town,FAC,Fear,AUC,0.142
005_90.csv,Short,The Town,FAC,Fear,AUC,0.0
008_1.csv,Short,The Town,FAC,Fear,AUC,1.6895
003_101.csv,Short,The Town,FAC,Fear,AUC,0.0
003_103.csv,Short,The Town,FAC,Fear,AUC,0.0
002_105.csv,Short,The Town,FAC,Fear,AUC,0.0
001_114.csv,Short,The Town,FAC,Fear,AUC,0.0
007_13.csv,Short,The Town,FAC,Fear,AUC,0.0
006_16.csv,Short,The Town,FAC,Fear,AUC,1.1265
006_43.csv,Short,The Town,FAC,Fear,AUC,0.0
005_59.csv,Short,The Town,FAC,Fear,AUC,0.302
008_6.csv,Short,The Town,FAC,Fear,AUC,1.6035
004_62.csv,Short,The Town,FAC,Fear,AUC,0.0
004_63.csv,Short,The Town,FAC,Fear,AUC,0.0
002_82.csv,Short,The Town,FAC,Fear,AUC,0.0
001_88.csv,Short,The Town,FAC,Fear,AUC,0.0
007_89.csv,Short,The Town,FAC,Fear,AUC,33.4655
005_93.csv,Short,The Town,FAC,Fear,AUC,0.0
005_10.csv,Short,The Town,FAC,Fear,Binary,0.0
004_15.csv,Short,The Town,FAC,Fear,Binary,0.0
003_37.csv,Short,The Town,FAC,Fear,Binary,0.0
002_39.csv,Short,The Town,FAC,Fear,Binary,0.0
004_56.csv,Short,The Town,FAC,Fear,Binary,0.0
001_58.csv,Short,The Town,FAC,Fear,Binary,0.0
003_64.csv,Short,The Town,FAC,Fear,Binary,0.0
002_73.csv,Short,The Town,FAC,Fear,Binary,0.0
001_77.csv,Short,The Town,FAC,Fear,Binary,0.0
005_90.csv,Short,The Town,FAC,Fear,Binary,0.0
008_1.csv,Short,The Town,FAC,Fear,Binary,0.0
003_101.csv,Short,The Town,FAC,Fear,Binary,0.0
003_103.csv,Short,The Town,FAC,Fear,Binary,0.0
002_105.csv,Short,The Town,FAC,Fear,Binary,0.0
001_114.csv,Short,The Town,FAC,Fear,Binary,0.0
007_13.csv,Short,The Town,FAC,Fear,Binary,0.0
006_16.csv,Short,The Town,FAC,Fear,Binary,0.0
006_43.csv,Short,The Town,FAC,Fear,Binary,0.0
005_59.csv,Short,The Town,FAC,Fear,Binary,0.0
008_6.csv,Short,The Town,FAC,Fear,Binary,0.0
