part,sensor,metric,stat,title,long_mean,short_mean,difference,t_stat,p_value,n_long,n_short,overall_p_value
Part 2,ET,Fixation,PerMinute,Mad Max,134.947668425,132.53944074153844,2.408227683461547,0.4249458258361369,0.6727930232037643,24,26,0.8817027507756533
Part 2,ET,Fixation,PerMinute,The Town,141.1201459632143,134.14820781153847,6.971938151675829,1.4269027802916916,0.16005185023976698,28,26,0.8817027507756533
Part 2,ET,FixationDispersion,Mean,Abbott Elementary,0.46536596510000006,0.43874954913333336,0.026616415966666696,1.5086377976113918,0.13694424709020472,30,30,0.8689108815579012
Part 2,ET,FixationDispersion,Mean,Mad Max,0.4423491662499999,0.5073445734583334,-0.06499540720833347,-2.699871932483335,0.0096981270386187,24,24,0.8689108815579012
Part 2,ET,FixationDispersion,Mean,The Town,0.5216279244444444,0.49794626262499997,0.02368166181944442,1.1287260099074707,0.2645124974307115,27,24,0.8689108815579012
Part 2,ET,FixationDuration,Mean,Abbott Elementary,528.9435348966666,525.0833216666666,3.8602132299999994,0.11901773552059255,0.9057097804172578,30,30,0.3621611292955468
Part 2,ET,FixationDuration,Mean,Mad Max,593.2533536695652,632.9281220523809,-39.67476838281573,-0.8499156354903847,0.40038276574307763,23,21,0.3621611292955468
Part 2,ET,FixationDuration,Mean,The Town,582.0475365148149,610.31001375,-28.2624772351852,-0.8238459550124735,0.41400948585413033,27,26,0.3621611292955468
Part 2,FAC,AdaptiveEngagement,AUC,Abbott Elementary,40.881566666666664,26.12803333333333,14.753533333333333,1.767673109455546,0.08238056157945665,30,30,0.019213889056890796
Part 2,FAC,AdaptiveEngagement,AUC,Mad Max,28.222499999999997,15.883249999999999,12.339249999999998,1.3230848170738956,0.19463697748932285,23,24,0.019213889056890796
Part 2,FAC,AdaptiveEngagement,AUC,The Town,26.004320000000003,17.75779411764706,8.246525882352945,0.8320746351089215,0.41045488906288063,25,17,0.019213889056890796
Part 2,FAC,AdaptiveEngagement,Mean,Abbott Elementary,0.41302777996666673,0.21407132971428572,0.198956450252381,2.5168487280637106,0.014745045710191657,30,28,0.08011956453113521
Part 2,FAC,AdaptiveEngagement,Mean,Mad Max,0.1615890143333333,0.11593190184615385,0.04565711248717946,0.7313047602779073,0.46855121214461204,24,26,0.08011956453113521
Part 2,FAC,AdaptiveEngagement,Mean,The Town,0.2036282965172414,0.2348470934,-0.03121879688275861,-0.40209439111004786,0.6892734189017761,29,25,0.08011956453113521
Part 2,FAC,Anger,AUC,Abbott Elementary,0.0,0.0,0.0,,,25,28,
Part 2,FAC,Anger,AUC,Mad Max,0.0,0.0,0.0,,,19,22,
Part 2,FAC,Anger,AUC,The Town,0.0,0.0,0.0,,,22,22,
Part 2,FAC,Anger,Binary,Abbott Elementary,0.0,0.0,0.0,,,30,30,
Part 2,FAC,Anger,Binary,Mad Max,0.0,0.0,0.0,,,24,26,
Part 2,FAC,Anger,Binary,The Town,0.0,0.0,0.0,,,29,26,
Part 2,FAC,Anger,Mean,Abbott Elementary,0.0,0.0,0.0,,,25,28,
Part 2,FAC,Anger,Mean,Mad Max,0.0,0.0,0.0,,,19,22,
Part 2,FAC,Anger,Mean,The Town,0.0,0.0,0.0,,,22,22,
Part 2,FAC,Confusion,AUC,Abbott Elementary,0.018884615384615385,0.0,0.018884615384615385,2.1929190006922155,0.037833469619562965,26,23,0.024858427332442885
Part 2,FAC,Confusion,AUC,Mad Max,0.0049210526315789475,0.0029523809523809524,0.001968671679197995,0.3696860843836012,0.7148517525636533,19,21,0.024858427332442885
Part 2,FAC,Confusion,AUC,The Town,0.011954545454545456,0.0016111111111111111,0.010343434343434344,1.113406111227437,0.2773939972096082,22,18,0.024858427332442885
Part 2,FAC,Confusion,Binary,Abbott Elementary,0.0,0.0,0.0,,,30,30,
Part 2,FAC,Confusion,Binary,Mad Max,0.0,0.0,0.0,,,24,26,
Part 2,FAC,Confusion,Binary,The Town,0.0,0.0,0.0,,,29,26,
Part 2,FAC,Confusion,Mean,Abbott Elementary,0.00013463932,0.0,0.00013463932,2.0000503535905083,0.05693406107034668,25,23,0.016977920280785156
Part 2,FAC,Confusion,Mean,Mad Max,2.3384894736842106e-05,1.4020047619047619e-05,9.364847117794487e-06,0.37011443068751615,0.714538008796554,19,21,0.016977920280785156
Part 2,FAC,Confusion,Mean,The Town,8.851665217391305e-05,7.040388888888889e-06,8.147626328502416e-05,1.4983192219022907,0.147799979984046,23,18,0.016977920280785156
Part 2,FAC,Contempt,AUC,Abbott Elementary,0.4916666666666667,0.1562166666666667,0.33545,2.36099734772476,0.022956588620970365,27,30,0.00831807789056873
Part 2,FAC,Contempt,AUC,Mad Max,0.5831590909090909,0.17450000000000002,0.4086590909090909,1.9085944338190748,0.06834271523597951,22,19,0.00831807789056873
Part 2,FAC,Contempt,AUC,The Town,0.39711538461538465,0.3227894736842105,0.07432591093117413,0.41378190074078985,0.6813827607660091,26,19,0.00831807789056873
Part 2,FAC,Contempt,Binary,Abbott Elementary,0.0,0.0,0.0,,,30,30,
Part 2,FAC,Contempt,Binary,Mad Max,0.0,0.0,0.0,,,24,26,
Part 2,FAC,Contempt,Binary,The Town,0.0,0.0,0.0,,,29,26,
