title,form,metric,windows,mean_pair_count,min_pair_count,max_pair_count,mean_corr,corr_std_mean,respondents_max
The Office,Short,EEG_PSD_ElectrodeClusterAverageAlphadB,466,27.78523489932886,1,66,0.013809980156873422,0.4551205545380996,12
The Office,Short,EEG_PSD_ElectrodeClusterAverageBetadB,466,27.78523489932886,1,66,0.00842054829449936,0.46312844886214927,12
The Office,Short,EEG_PSD_ElectrodeClusterAverageDeltadB,466,27.78523489932886,1,66,0.032255764114666075,0.46758529162104673,12
The Office,Short,EEG_PSD_ElectrodeClusterAverageGammadB,466,27.78523489932886,1,66,-0.0073966262442933094,0.46741630009560753,12
The Office,Short,EEG_PSD_ElectrodeClusterAverageThetadB,466,27.78523489932886,1,66,0.01891181917118422,0.4605216879469334,12
The Town,Short,EEG_PSD_ElectrodeClusterAverageAlphadB,734,15.816843826655765,1,47,0.012957655541807177,0.4732761549724589,11
The Town,Short,EEG_PSD_ElectrodeClusterAverageBetadB,734,15.816843826655765,1,47,0.03713371001767862,0.4651158797611402,11
The Town,Short,EEG_PSD_ElectrodeClusterAverageDeltadB,734,15.816843826655765,1,47,0.035609300014585385,0.46934436754667425,11
The Town,Short,EEG_PSD_ElectrodeClusterAverageGammadB,734,15.816843826655765,1,47,-0.0007597188821337678,0.4835219687434141,11
The Town,Short,EEG_PSD_ElectrodeClusterAverageThetadB,734,15.816843826655765,1,47,0.0314536303916178,0.4562467831934894,11
Titanic,Short,EEG_PSD_ElectrodeClusterAverageAlphadB,147,16.546341463414635,1,55,0.022752267673279113,0.4337524687633477,12
Titanic,Short,EEG_PSD_ElectrodeClusterAverageBetadB,147,16.546341463414635,1,55,0.01327438268404926,0.45212910762882064,12
Titanic,Short,EEG_PSD_ElectrodeClusterAverageDeltadB,147,16.546341463414635,1,55,-0.005567874291461045,0.4382599776337074,12
Titanic,Short,EEG_PSD_ElectrodeClusterAverageGammadB,147,16.546341463414635,1,55,-0.013040331709542751,0.43697748597304276,12
Titanic,Short,EEG_PSD_ElectrodeClusterAverageThetadB,147,16.546341463414635,1,55,-0.013782278742092108,0.44082730145464444,12
